Center,Center.Name,Mall.Code,City,State,Intersecting.Streets,MSA,Center.Classification,Design.Type,Year.Opened,GLA.sqft,Stores,OD.Company,DistBetween
Daytona Beach,SoDo Shopping Center,FL8987,Orlando,FL,S Orange Ave. & Grant St.,"orlando-kissimmee, fl",Lifestyle/Specialty Center,Open,2008,440415,39,Kimco Realty Corporation,50.99894316981738
Daytona Beach,Westland Terrace Plaza,FL0194,Orlando,FL,NEC of Colonial Dr. & Apopka Vineland Road,"orlando-kissimmee, fl",Power Center,Open,2000,252883,11,Atlantic Retail Properties,51.19166485147177
Daytona Beach,Colonial Town Center,FL0014,Orlando,FL,W. Colonial Dr. & Apopka-Vineland Rd.,"orlando-kissimmee, fl",Power Center,Open,NA,223200,10,"LandQwest Commercial, LLC",51.55786110370575
Daytona Beach,West Oaks Mall,FL0002,Ocoee,FL,NEC Clarke Rd. & SR 50 (W. Colonial Dr.),"orlando-kissimmee, fl",Super-Regional Center,Enclosed,1996,1167125,115,"Moonbeam Capital Investments, LLC",51.91951358164339
Daytona Beach,St. Augustine Outlets,FL0098,St. Augustine,FL,I-95 & Usinas Memorial Hwy,"jacksonville, fl",Value-Retail Center,Enclosed,1999,335000,75,The Lightstone Group,51.990757335359106
Daytona Beach,St. Augustine Premium Outlets,FL0009,St. Augustine,FL,I-95 & SR 16,"jacksonville, fl",Value-Retail Center,Open,1990,328557,87,Premium Outlets | Simon,52.50196748817485
Daytona Beach,Vista Palms Shopping Center,FL9124,Orlando,FL,Narcoossee Rd. & Lee Vista Blvd.,"orlando-kissimmee, fl",Power Center,Open,2007,333373,20,Sullivan Properties Inc.,52.726630414937794
Daytona Beach,Lee Vista Promenade,FL9017,Orlando,FL,Lee Vista Blvd & Hazeltine National Dr,"orlando-kissimmee, fl",Power Center,Open,2015,350000,15,DDR Corp.,53.11288982030715
Daytona Beach,Millenia Plaza,FL0142,Orlando,FL,I-4 & Milenia Plaza Way,"orlando-kissimmee, fl",Power Center,Open,2002,753025,33,DDR Corp.,53.57487970683367
Daytona Beach,The Mall at Millenia,FL0143,Orlando,FL,I-4 & Conroy Road,"orlando-kissimmee, fl",Super-Regional Center,Enclosed,2002,1200000,143,The Forbes Company,54.09141089956402
Daytona Beach,Rolling Acres Plaza,FL0204,The Villages,FL,U.S. 441/27 & NWC Rolling Acres Rd.,"orlando-kissimmee, fl",Lifestyle/Specialty Center,Open,2005,323234,23,NA,54.26844616017256
Daytona Beach,Spanish Springs Town Square,FL8981,The Villages,FL,Main Street & Del Mar Drive,"orlando-kissimmee, fl",Lifestyle/Specialty Center,Open,1999,375455,54,The Villages Operating Company,54.88280319785398
Daytona Beach,Orlando Premium Outlets-Intern'tl,FL0001,Orlando,FL,Florida Turnpike & I-4,"orlando-kissimmee, fl",Value-Retail Center,Enclosed,1982,773000,200,Premium Outlets | Simon,55.26906603509096
Daytona Beach,Skyview Plaza,FL0008,Orlando,FL,S. Orange Blossom Trail & W. Sand Lake Rd.,"orlando-kissimmee, fl",Power Center,Open,1994,262527,35,DDR Corp.,55.49986624445325
Daytona Beach,Terrace at Florida Mall,FL8930,Orlando,FL,Sand Lake Rd. & Orange Blossom Trail,"orlando-kissimmee, fl",Power Center,Open,1986,346693,22,Terrace at Florida Mall LP,55.55321451207667
Daytona Beach,Artegon Marketplace,FL0097,Orlando,FL,International Dr. & Oakridge Rd.,"orlando-kissimmee, fl",Entertainment Center,Enclosed,2003,1100000,120,NA,55.559414575805135
Daytona Beach,The Grove,FL9101,Orlando,FL,S. Apopka Vineland Rd. & Conroy-Windermere Rd.,"orlando-kissimmee, fl",Lifestyle/Specialty Center,Open,2011,151752,33,Regency Centers,55.63067867311065
Daytona Beach,Outlet Marketplace,FL9138,Orlando,FL,International Dr.,"orlando-kissimmee, fl",Value-Retail Center,Open,1985,205000,40,Premium Outlets | Simon,55.718809162573486
Daytona Beach,The Florida Mall,FL0930,Orlando,FL,Sand Lake Rd. & S. Orange Blossom Trail,"orlando-kissimmee, fl",Super-Regional Center,Enclosed,1986,1769207,250,"Simon Property Group, Inc.",55.922118148109966
Daytona Beach,iSquare Mall,FL9186,Orlando,FL,International Dr. & Kirkman Rd.,"orlando-kissimmee, fl",Lifestyle/Specialty Center,Enclosed,2018,350000,0,BlackMINE Group,56.21775214703608
Daytona Beach,Winter Garden Village,FL0195,Orlando,FL,Daniels Rd. & Stoneybrook W. Pkwy.,unspecified,Super-Regional Center,Open,2007,1127337,96,DDR Corp.,56.35684507225946
Daytona Beach,Sand Lake Corners,FL0088,Orlando,FL,Sand Lake Rd. & John Young Pkwy.,"orlando-kissimmee, fl",Regional Center,Open,1998,612108,45,"Tabani Group, Inc.",56.38114234314891
Daytona Beach,Lake Sumter Landing Market Square,FL8982,The Villages,FL,Lake Sumter Landing & Old Camp Rd.,"the villages, fl",Lifestyle/Specialty Center,Open,2004,551555,75,The Villages Operating Company,56.92057153455941
Daytona Beach,Colony Plaza,FL9064,The Villages,FL,NEC CR-466A & Morse Blvd.,"the villages, fl",Lifestyle/Specialty Center,Open,2007,163409,41,The Villages Operating Company,57.087203587363746
Daytona Beach,Rialto,FL0228,Orlando,FL,Sand Lake Rd. at I-84,"orlando-kissimmee, fl",Lifestyle/Specialty Center,Open,2007,350000,15,Orion Investment & Management Ltd,57.34624112354819
Daytona Beach,Plaza Venezia 1 & 2,FL9055,Orlando,FL,Sand Lake Dr. Phillips Blvd.,"orlando-kissimmee, fl",Lifestyle/Specialty Center,Open,2001,202522,57,Regency Centers,57.80648473062065
Daytona Beach,Pointe Orlando,FL0109,Orlando,FL,International Dr. & Pointe Plaza Ave.,"orlando-kissimmee, fl",Lifestyle/Specialty Center,Open,1997,422980,70,"Brixmor Property Group, Inc.",58.389599022784815
Daytona Beach,Buffalo Ridge at The Villages,FL9057,The Villages,FL,CR 466 & Wedgewood Lane,"the villages, fl",Power Center,Open,2007,1200000,36,The Villages Operating Company,58.74917922876574
Daytona Beach,Brownwood Paddock Square,FL9058,The Villages,FL,State Rd. 44 & Buena Vista Blvd.,"the villages, fl",Lifestyle/Specialty Center,Open,2012,350000,42,The Villages Operating Company,61.35936827082149
Daytona Beach,Antrim Dells,FL9059,The Villages,FL,State Rd 44,"the villages, fl",Power Center,Open,2016,650000,0,The Villages Operating Company,61.71170439072827
Daytona Beach,Orlando Premium Outlets-Vineland,FL0106,Orlando,FL,I-4 & SR 535,"orlando-kissimmee, fl",Value-Retail Center,Open,2000,773000,200,Premium Outlets | Simon,61.74137332186103
Daytona Beach,Hunter's Creek Promenade,FL0231,Orlando,FL,Town Center Blvd. & John Young Pkwy.,"orlando-kissimmee, fl",Lifestyle/Specialty Center,Open,1992,227156,35,Kite Realty Group,61.79876203679282
Daytona Beach,The Loop,FL0183,Kissimmee,FL,NWC Osceola Pkwy. & John Young Pkwy.,"orlando-kissimmee, fl",Power Center,Open,2004,434909,45,Metropolitan Life Insurance Co.,62.99700077197105
Daytona Beach,Disney Springs,FL0119,Lake Buena Vista,FL,Buena Vista Dr. & Hotel Plaza Blvd.,"orlando-kissimmee, fl",Entertainment Center,Open,1975,350000,150,Walt Disney Parks & Resorts,63.146884527970535
Daytona Beach,Loop West,FL9157,Kissimmee,FL,Osceola Pkwy. & Dyer Blvd. N.,"orlando-kissimmee, fl",Power Center,Open,2004,295100,32,North American Development Group,63.161717177102076
Daytona Beach,Lake Buena Vista Factory Stores,FL0155,Orlando,FL,15657 State Rd. 535,"orlando-kissimmee, fl",Value-Retail Center,Open,1996,348000,52,Lake Buena Vista Fac Stores Inc.,64.07386366562548
Daytona Beach,Merritt Square Mall,FL0700,Merritt Island,FL,"Hwy. 520 & Sykes Creek Blvd., Fortenberry Rd.","palm bay-melbourne-titusville, fl",Regional Center,Enclosed,1970,811055,95,Namdar Realty Group,64.24026262437461
Daytona Beach,Nocatee Town Center,FL9075,Ponte Verda,FL,Crosswater Pkwy. & Nocatee Pkwy.,"jacksonville, fl",Lifestyle/Specialty Center,Open,2010,1000000,40,Regency Centers,64.77861621545536
Daytona Beach,Paddock Mall,FL0880,Ocala,FL,SR 200 & I-75,"ocala, fl",Regional Center,Enclosed,1980,551988,88,Washington Prime Group,65.07270277295196
Daytona Beach,Kissimmee West,FL0203,Kissimmee,FL,US Hwy. 192 off Apopka-Vineland Rd.,"orlando-kissimmee, fl",Power Center,Open,2005,300186,19,Ramco-Gershenson Properties Trust,65.64533507871425
Daytona Beach,Market Street at Heath Brook,FL9103,Ocala,FL,"I-75, Exit 350 & SW College Rd.","ocala, fl",Lifestyle/Specialty Center,Open,2008,560000,80,The MGHerring Group,66.40241060432548
Daytona Beach,Rolling Oaks Commons,FL9113,West Kissimmee,FL,SEC U.S. Hwy. 192 & State Rd. 429,"orlando-kissimmee, fl",Regional Center,Open,2008,509777,29,NA,67.59123054538617
Daytona Beach,The Avenue Viera,FL0186,Viera,FL,I-95 & Wickham Rd.,"palm bay-melbourne-titusville, fl",Lifestyle/Specialty Center,Open,2004,405538,92,Poag Shopping Centers,70.59374433293856
Daytona Beach,The Shoppes At Lake Andrew,FL2904,Viera,FL,I-95 & N. Wickham Rd.,"palm bay-melbourne-titusville, fl",Power Center,Open,2003,329733,25,VEREIT,71.27891984943757
Daytona Beach,The Avenues,FL0004,Jacksonville,FL,US 1 (Phillips Hwy.) & I-95,"jacksonville, fl",Super-Regional Center,Enclosed,1990,1114367,158,"Simon Property Group, Inc.",72.23515510666411
Daytona Beach,Riverplace Shopping Center,FL8880,Jacksonville,FL,Claire Ln. & State Rd. No.13,"jacksonville, fl",Power Center,Open,1989,256980,32,Kimco Realty Corporation,73.20685637923222
Daytona Beach,South Beach Regional S/C,FL0064,Jacksonville Beach,FL,SWC A1A (Third St.) & J. Turner Butler Blvd.,"jacksonville, fl",Power Center,Open,1990,307744,41,Regency Centers,74.05452020858618
Daytona Beach,Posner Commons @ Posner Park,FL9091,Davenport,FL,US Hwy. 27 & I-4,"lakeland, fl",Power Center,Open,2008,630000,60,Trammell Crow Company,75.56741189298552
Daytona Beach,The Markets at Town Center,FL9062,Jacksonville,FL,NEC Gate Pkwy. & Town Center Pkwy.,"jacksonville, fl",Lifestyle/Specialty Center,Open,2008,337427,40,Hines Global REIT,76.07768726967569
Daytona Beach,St. Johns Town Center,FL0191,Jacksonville,FL,J. Turner Butler Blvd. & St. Johns Bluff Rd.,"jacksonville, fl",Lifestyle/Specialty Center,Open,2005,1235037,190,"Simon Property Group, Inc.",76.2386368969709
Daytona Beach,Pablo Creek Plaza,FL9015,Jacksonville,FL,SEC Beach Blvd. & Hodges Blvd.,"jacksonville, fl",Power Center,Open,2005,297533,35,Westwood Financial Corp.,76.80985300229638
Daytona Beach,Hodges Pointe Plaza,FL9146,Jacksonville,FL,Beach & Hodges Blvds.,"jacksonville, fl",Power Center,Open,2003,356142,36,Sleiman Enterprises,76.90938773920115
Daytona Beach,Orange Park Mall,FL0900,Orange Park,FL,Blanding Blvd. & Wells Rd.,"jacksonville, fl",Regional Center,Enclosed,1975,959405,123,Washington Prime Group,77.0647471583351
Daytona Beach,Argyle Village Shopping Center,FL0890,Jacksonville,FL,SWC Blanding Blvd. & I-295,"jacksonville, fl",Power Center,Open,1984,306461,33,Weingarten Realty Investors,77.75750470982376
Daytona Beach,St. Johns Square/Town Center,FL2839,Jacksonville,FL,SWC St Johns Bluff Rd. & Beach Blvd.,"jacksonville, fl",Power Center,Open,1989,231799,42,Sleiman Enterprises,78.16016585677997
Daytona Beach,Atlantic North,FL9153,Jacksonville,FL,Atlantic & Kernan Blvds.,"jacksonville, fl",Power Center,Open,2013,252465,16,Sleiman Enterprises,79.9697791806828
Daytona Beach,Oakleaf Town Center,FL0238,Jacksonville,FL,NWQ Argyle Forest Blvd. & Old Middleburg Rd.,"jacksonville, fl",Regional Center,Open,2007,730510,71,The Sembler Company,80.80911337440949
Daytona Beach,Regency Plaza,FL2700,Jacksonville,FL,Atlantic Blvd. & Live Oak Dr.,"jacksonville, fl",Power Center,Open,1973,205696,15,DLC Management Corporation,80.8666748070888
Daytona Beach,Regency Square Mall,FL0480,Jacksonville,FL,Southside Blvd. & Arlington Expwy.,"jacksonville, fl",Super-Regional Center,Enclosed,1967,1400000,130,Namdar Realty Group,81.14432196031966
Daytona Beach,Avenues Walk,FL0102,Jacksonville,FL,I-95 & US 1 (Phillips Hwy.),"jacksonville, fl",Regional Center,Open,2000,586495,23,Kimco Realty Corporation,82.06470822970805
Daytona Beach,Butler Plaza/North/Town Center,FL0037,Gainesville,FL,"Archer Rd., 34th St. & I-75","gainesville, fl",Super-Regional Center,Open,1976,2050000,80,Butler Enterprises,82.22619237847253
Daytona Beach,Nasa Plaza,FL2519,Melbourne,FL,Babcock St. & Nasa Blvd.,"palm bay-melbourne-titusville, fl",Lifestyle/Specialty Center,Open,1967,168737,20,Kimco Realty Corporation,82.44751110730769
Daytona Beach,Melbourne Square,FL0680,Melbourne,FL,US 192 (W. New Haven Ave.) & Evans Rd.,"palm bay-melbourne-titusville, fl",Regional Center,Enclosed,1982,724748,118,Washington Prime Group,82.63413881309529
Daytona Beach,Celebration Pointe,FL9167,Gainesville,FL,NWC I-75 & Archer Rd. (SR-24),"gainesville, fl",Lifestyle/Specialty Center,Open,2017,313300,0,"Celebration Pointe Holdings, LLC",83.1799796795366
Daytona Beach,The Jacksonville Landing,FL0126,Jacksonville,FL,Independent Dr. & Hogan St.,"jacksonville, fl",Entertainment Center,Enclosed,1987,126000,61,Sleiman Enterprises,83.60367711583474
Daytona Beach,The Oaks Mall,FL0340,Gainesville,FL,I-75 & Newberry Rd.,"gainesville, fl",Regional Center,Enclosed,1978,906104,140,GGP,84.80199546403709
Daytona Beach,Hammock Landing,FL9016,West Melbourne,FL,I-95 & Palm Bay Road,"palm bay-melbourne-titusville, fl",Power Center,Open,2009,750000,60,CBL Properties,85.30947559259013
Daytona Beach,Gateway Town Center,FL0430,Jacksonville,FL,44th St. & Norwood Ave. @ I-95,"jacksonville, fl",Regional Center,Enclosed,1959,625000,111,NA,86.71376558646644
Daytona Beach,Citi Centre,FL1520,Winter Haven,FL,"US 17 at Ave. K, & 3rd St. SW","lakeland, fl",Power Center,Open,1971,400000,20,Schmier & Feurring Properties,91.22735211612876
Daytona Beach,Eagle Ridge Mall,FL0019,Lake Wales,FL,US Hwy. 27 & Chalet Suzanne Rd.,"lakeland, fl",Regional Center,Enclosed,1996,624759,103,"Tabani Group, Inc.",92.29241954457221
Daytona Beach,River City Marketplace,FL0208,Jacksonville,FL,I-95 & Airport Rd.,"jacksonville, fl",Lifestyle/Specialty Center,Open,2006,901388,80,Ramco-Gershenson Properties Trust,92.83711705456919
Daytona Beach,Crystal River Commons,FL9117,Crystal River,FL,N. Suncoast Blvd. (U.S. Hwy. 19/98) & Ozello Trail,"homosassa springs, fl",Lifestyle/Specialty Center,Open,2019,400000,6,"Carolina Holdings, Inc.",93.0245368893005
Daytona Beach,Lakeland Square Mall,FL8812,Lakeland,FL,US Hwy. 98 N. & I-4,"lakeland, fl",Regional Center,Enclosed,1988,890000,106,Rouse Properties,93.97909121646451
Daytona Beach,Mariner Square,FL0092,Spring Hill,FL,Cortez Blvd. (SR 500) & Mariner Blvd.,"tampa-st. petersburg-clearwater, fl",Regional Center,Open,1988,518800,29,DDR Corp.,97.53371455384894
Daytona Beach,Lakeside Village,FL8979,Lakeland,FL,Harden Blvd. & Polk Parkway,"lakeland, fl",Lifestyle/Specialty Center,Open,2006,511000,80,Casto,99.30152005477991
Deer Park,Tanger Outlets at The Arches,NY9509,Deer Park,NY,Grand Blvd. & Commack Rd.,"new york-northern new jersey-long island, ny-nj-pa",Value-Retail Center,Open,2008,749074,105,"Tanger Factory Outlet Centers, Inc.",0.06062550012589863
Deer Park,Commack South Shopping Center,NY1552,Commack,NY,NEC Crooked Hill Rd & LIE,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,2001,500000,14,Cosentino Realty Group,3.32183041101274
Deer Park,Crooked Hill Commons,NY1575,Commack,NY,NEC LIE & Crooked Hill Rd,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,2007,500000,3,Cosentino Realty Group,3.5268918255378954
Deer Park,Westfield South Shore,NY0160,Bayshore,NY,1701 Sunrise Hwy. & Brook Ave.,"new york-northern new jersey-long island, ny-nj-pa",Super-Regional Center,Enclosed,1963,999249,126,Westfield LLC,3.574131022337949
Deer Park,Great South Bay Shopping Center,NY1372,West Babylon,NY,"Montauk Hwy., Brookdale & Park Aves.","new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1956,470000,49,Olshan Properties,5.829802348461329
Deer Park,Melville Mall,NY9224,Melville,NY,Walt Whitman Rd. (Rte. 110) & Northern State Pkwy.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1974,251000,8,Federal Realty Investment Trust,5.914885353883833
Deer Park,Airport Plaza,NY0099,Farmingdale,NY,NYS Route 110 & Conklin St.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1998,451054,26,Kimco Realty Corporation,6.139752985067405
Deer Park,Walt Whitman Shops,NY0600,Huntington Station,NY,Rt. 110 & Jericho Tpke.,"new york-northern new jersey-long island, ny-nj-pa",Super-Regional Center,Enclosed,1961,1007000,96,"Simon Property Group, Inc.",6.752372992744354
Deer Park,Islandia Shopping Center,NY0012,Islandia,NY,Veteran's Memorial Hwy. & Sycamore Ave.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1991,375000,36,Schuckman Realty Inc.,7.202283457479775
Deer Park,Home Depot Plaza,NY0014,Copiague,NY,Sunrise Hwy. (Rte. 27) & Bayview Ave.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1985,294416,6,Kimco Realty Corporation,7.451433073721067
Deer Park,Westfield Sunrise,NY0800,Massapequa,NY,Carmans Rds. & Sunrise Hwy.,"new york-northern new jersey-long island, ny-nj-pa",Super-Regional Center,Enclosed,1973,1138705,152,Westfield LLC,8.745085780813902
Deer Park,Philips at Sunrise,NY0090,Massapequa,NY,Sunrise Hwy. & Old Sunrise Hwy.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1971,350000,26,Mass One LLC,9.089101755101893
Deer Park,Nassau Mall & Kohl's Plaza,NY0750,Levittown,NY,Hempstead Tpke. W. of Wantagh Ave.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1973,524000,48,The Feil Organization,10.535942009453905
Deer Park,The Shops at Syosset,NY0159,Long Island,NY,NEC Long Island Expressway & Robbins Lane,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Enclosed,2020,450000,NA,"Simon Property Group, Inc.",10.975435194120552
Deer Park,DSW Plaza at Lake Grove,NY0158,Lake Grove,NY,SEC Middle County (Rte. 25) & Moriches Rds.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1986,251263,10,Welco Realty Inc.,11.545048238509246
Deer Park,Smith Haven Mall,NY0680,Lake Grove,NY,Routes 25 & 347/NE,"new york-northern new jersey-long island, ny-nj-pa",Super-Regional Center,Enclosed,1969,1282415,155,"Simon Property Group, Inc.",11.575443606928786
Deer Park,Broadway Mall,NY0540,Hicksville,NY,Broadway (Rts. 106 & 107),"new york-northern new jersey-long island, ny-nj-pa",Super-Regional Center,Enclosed,1956,1153302,106,KKR & Co.,11.800104680115973
Deer Park,Jericho Commons,NY1560,Jericho,NY,N. Broadway & Market St.,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Open,1962,236147,24,Kimco Realty Corporation,12.09366286706712
Deer Park,Independence Plaza,NY9202,Selden,NY,NWC Boyle & Middle Country Rds.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1992,236130,28,Kimco Realty Corporation,14.99241682995069
Deer Park,Lesso Home New York,NY0063,Westbury,NY,Old Country Rd & Mechants Concourse,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Enclosed,1997,723000,75,Lesso Mall Development (Long Island) Inc.,15.17522448451649
Deer Park,Westbury Plaza,NY0038,Westbury,NY,Old Country Rd. & Zeckendorf Blvd.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1993,394451,11,Regency Centers,15.43290552089791
Deer Park,Expressway Plaza Shopping Center,NY9131,Farmingville,NY,SWC N. Ocean Ave. & Horseblock Rd.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1998,230000,23,Schuckman Realty Inc.,15.467214745161725
Deer Park,Roosevelt Field,NY0460,Garden City,NY,Old Country Rd. & Meadowbrook,"new york-northern new jersey-long island, ny-nj-pa",Super-Regional Center,Enclosed,1956,2247000,265,"Simon Property Group, Inc.",16.175874042391214
Deer Park,The Hub Shopping Center,NY0024,Hempstead,NY,Cathedral & Fulton Ave.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,2002,248749,22,DDR Corp.,17.462237432640663
Deer Park,Americana Manhasset,NY0094,Manhasset,NY,Northern Blvd. & Searingtown Rd.,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Open,1956,220000,60,"Castagna Realty Co., Inc.",19.36837458949605
Deer Park,Home Depot Shopping Center,NY0137,Elmont,NY,Hempstead Turnpike & Makofske Ave.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1991,269490,10,The Feil Organization,21.141729112337664
Deer Park,Artist Lake Plaza,NY0027,Middle Island,NY,NEC Currans & Middle Country Rds.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,2016,389000,0,Breslin Realty Development,21.517936239924783
Deer Park,The Meadows at Yaphank,NY0052,Yaphank,NY,NWC LIE & William Floyd Pkwy.,"new york-northern new jersey-long island, ny-nj-pa",Regional Center,Enclosed,2017,327500,140,Breslin Realty Development,22.18147726188221
Deer Park,Douglaston Plaza,NY0018,Douglaston,NY,Douglaston Pkwy. & 61st St.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1975,299144,12,Ashkenazy Acquisition Corp.,22.707995965842468
Deer Park,Green Acres Mall,NY1360,Valley Stream,NY,Sunrise Hwy.,"new york-northern new jersey-long island, ny-nj-pa",Super-Regional Center,Enclosed,1956,2200000,160,Macerich,22.800887313534687
Deer Park,Stamford Town Center,CT0240,Stamford,CT,"Greyrock Pl., Tresser Blvd., Atlantic & Broad St","bridgeport-stamford-norwalk, ct",Regional Center,Enclosed,1982,762000,116,The Taubman Company,23.309228332236167
Deer Park,South Port Shopping Center,NY9355,Shirley,NY,Park Avenue & Montauk Hwy,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1990,299274,37,Southport 2013 LLC,23.51988162817255
Deer Park,The SoNo Collection,CT9044,Norwalk,CT,I-95 & West Ave.,"bridgeport-stamford-norwalk, ct",Regional Center,Enclosed,2019,700000,100,GGP,24.263310269588356
Deer Park,Ridgeway Shopping Center,CT0220,Stamford,CT,"Summer St., Sixth St. & Bedford St.","bridgeport-stamford-norwalk, ct",Power Center,Open,1947,369563,37,Urstadt Biddle Properties Inc.,24.40182246433623
Deer Park,District Center At Waypointe,CT8876,Norwalk,CT,West Ave. & I-95,"hartford-west hartford-east hartford, ct",Lifestyle/Specialty Center,Open,2014,144000,12,Charter Realty & Dev. Corp.,24.694146265405486
Deer Park,The Bay Terrace,NY9381,Bayside,NY,26th Ave. & Bell Blvd.,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Open,1958,300000,64,"Sabre Real Estate Group, LLC",24.743609727852974
Deer Park,New Roc City,NY0900,New Rochelle,NY,Main St. & LeCount Place & Harrison,"new york-northern new jersey-long island, ny-nj-pa",Entertainment Center,Open,1999,500000,25,"Cappelli Enterprises, Inc.",26.80947452142787
Deer Park,Flushing Commons,NY9505,Flushing,NY,39th & Union,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Open,2017,235000,0,F&T Group,27.36501223857203
Deer Park,New World Mall,NY0133,Flushing,NY,Roosevelt Ave. & Main Street,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Enclosed,2011,165000,100,New World Group,27.370208418960164
Deer Park,The Shops at SkyView Center,NY1547,Flushing,NY,College Point Blvd. & Roosevelt Ave.,"new york-northern new jersey-long island, ny-nj-pa",Regional Center,Enclosed,2010,785000,41,ShopCore Properties,27.829884340106346
Deer Park,Bay Plaza Shopping Center,NY8830,Bronx,NY,I-95 & Hutchinson River Pkwy.,"new york-northern new jersey-long island, ny-nj-pa",Super-Regional Center,Open,1988,1300000,75,Prestige Properties & Dev.,28.307954945221248
Deer Park,The Mall At Bay Plaza,NY0109,Bronx,NY,I-95 & Hutchinson River Pkwy,"new york-northern new jersey-long island, ny-nj-pa",Regional Center,Enclosed,2014,780000,100,Prestige Properties & Dev.,28.330342633239837
Deer Park,Post Road Plaza,NY1015,Pelham Manor,NY,Boston Post Rd. (Rt. 1) & Pelham Pkwy.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1960,267979,17,c/o Levin Management,28.39309902834362
Deer Park,Bruckner Commons,NY0148,Bronx,NY,White Plains Rd. & Bruckner Blvd.,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Enclosed,1991,501046,41,Urban Edge Properties,29.20245528234862
Deer Park,Rego Park Center I & II,NY0059,Rego Park,NY,Queens & Junction Blvds.,"new york-northern new jersey-long island, ny-nj-pa",Regional Center,Enclosed,1997,960000,34,Vornado Realty Trust,29.23974266915794
Deer Park,Steelpointe Harbor,CT9045,Bridgeport,CT,I-95 & Stratford Ave.,"bridgeport-stamford-norwalk, ct",Regional Center,Open,2015,800000,0,Bridgeport Landing Dev. LLC,29.24706530388995
Deer Park,Queens Center,NY1060,Elmhurst,NY,"Queens Blvd.,Woodhaven Blvd. & L.I.E.","new york-northern new jersey-long island, ny-nj-pa",Regional Center,Enclosed,1973,963000,140,Macerich,29.603450135546883
Deer Park,Vernon Hills Shopping Center,NY1558,Scarsdale,NY,White Plains & Post Rds.,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Open,1973,250000,21,c/o SRS Real Estate Partners,29.746443228686324
Deer Park,Heritage White Plains,NY1565,White Plains,NY,Bloomingdale Rd.,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Open,2018,48000,0,Caspi Development Company,29.770168194741043
Deer Park,The Shops at Atlas Park,NY0136,Glendale,NY,Cooper Ave. & 80th Street,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Open,2006,372000,101,Macerich,29.78891170835694
Deer Park,The Source at White Plains,NY0131,White Plains,NY,Bloomingdale Rd. & Maple Ave.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Enclosed,2003,250000,9,The Wilder Companies,29.904360411018224
Deer Park,Queens Place,NY0098,Forest Hills,NY,Queens Blvd. & 56th St.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Enclosed,2001,440000,21,Madison International Realty,29.946162053349536
Deer Park,The Westchester,NY0016,White Plains,NY,Westchester Ave. & Bloomingdale Rd.,"new york-northern new jersey-long island, ny-nj-pa",Regional Center,Enclosed,1995,826440,149,"Simon Property Group, Inc.",30.026250066383483
Deer Park,Wilton Campus/Wilton River Park,CT9037,Wilton,CT,River Road,"bridgeport-stamford-norwalk, ct",Lifestyle/Specialty Center,Open,1986,284160,40,Kimco Realty Corporation,30.124266154766985
Deer Park,City Center at White Plains,NY0123,White Plains,NY,Mamaroneck Ave. & Main St.,"new york-northern new jersey-long island, ny-nj-pa",Super-Regional Center,Open,2003,600000,22,Kite Realty Group,30.345814597274344
Deer Park,Galleria at White Plains,NY1440,White Plains,NY,Main & Grove Sts./ Martine & S. Lexington Aves.,"new york-northern new jersey-long island, ny-nj-pa",Regional Center,Enclosed,1980,863293,130,Pacific Retail Capital Partners,30.482935936534588
