Center,Center.Name,Mall.Code,City,State,Intersecting.Streets,MSA,Center.Classification,Design.Type,Year.Opened,GLA.sqft,Stores,OD.Company,DistBetween
Atlantic City,Hilltown Promenade,PA9537,Hilltown,PA,Route 309 & Swartley Rd.,"philadelphia-camden-wilmington, pa-nj-de-md",Power Center,Open,2017,475000,12,NA,78.28745151441542
Atlantic City,Main Street at Exton,PA8968,Exton,PA,Hwy. 100 & Hwy. 30,"philadelphia-camden-wilmington, pa-nj-de-md",Lifestyle/Specialty Center,Open,2002,759957,42,"Wolfson Group, Inc.",78.3303670250193
Atlantic City,Exton Square Mall,PA0094,Exton,PA,Rtes. 30 & 100,"philadelphia-camden-wilmington, pa-nj-de-md",Super-Regional Center,Enclosed,1973,1088000,111,PREIT,78.50662574411534
Atlantic City,Providence Town Center,PA0167,Collegeville,PA,Rtes. 422 & 29,"philadelphia-camden-wilmington, pa-nj-de-md",Lifestyle/Specialty Center,Open,2009,777317,85,Brandolini Companies,78.70481623179855
Atlantic City,The Mall at Luxury Point,NJ9291,Sayreville,NJ,Garden State Pkwy. & Route 9,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Open,2018,2800000,0,O'Neill Properties Group,78.80210679029412
Atlantic City,The Landing at the Point-Sayrevil,NJ9294,Sayreville,NJ,"Garden State Pkwy., Rte. 9, & Rte. 35","new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,2017,620000,35,O'Neill Properties Group,79.236733575052
Atlantic City,Tanger Outlets,MD9172,Ocean City,MD,U.S. Rte. 50 & Old Golf Course Rd.,"salisbury, md",Value-Retail Center,Open,1990,198800,45,"Tanger Factory Outlet Centers, Inc.",79.27598367170852
Atlantic City,Edison Towne Square,NJ9287,Edison,NJ,Rte.1 (Old Post Rd.) & Vineyard Rd.,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Open,2010,600000,4,"Edison Land Investment, LLC",80.04973040859781
Atlantic City,Brandywine Square,PA0071,Downingtown,PA,Lancaster Ave & Quarry Road,"philadelphia-camden-wilmington, pa-nj-de-md",Power Center,Open,1990,603668,25,Allied Properties,80.21478834323217
Atlantic City,Edison Crossroads,NJ0057,Edison,NJ,US Rte. 1 & I-287,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1998,312000,10,"ARC Properties, Inc.",80.3017553983331
Atlantic City,Ocean Landing I & II,MD9173,Berlin,MD,U.S. Rte. 50 (Ocean Gateway),unspecified,Power Center,Open,2018,450000,25,Paramount Realty Services,80.53868078000677
Atlantic City,Ashbridge Square,PA0122,Downingtown,PA,Rte. 30 & E. Lancaster Ave.,"philadelphia-camden-wilmington, pa-nj-de-md",Power Center,Open,2000,386248,18,DDR Corp.,80.62294911525
Atlantic City,Hilltown Plaza,PA9162,Souderton,PA,Rte. 309 & Rte. 113,"philadelphia-camden-wilmington, pa-nj-de-md",Power Center,Open,1973,330000,24,Metro Development Company,80.94672652081199
Atlantic City,Bricktown Centre at Charleston,NY0149,Staten Island,NY,Richmond Pkwy. & West Shore Expwy.(Rte. 440),"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,2006,400000,10,Blumenfeld Development Group,81.35361004825836
Atlantic City,The Court at Upper Providence,PA9492,Upper Providence Twp.,PA,Township Line Rd. & Ridge Pike,"philadelphia-camden-wilmington, pa-nj-de-md",Power Center,Open,2007,400000,25,Gambone Development Company,81.49981751622906
Atlantic City,The Shoppes at Flemington,NJ9320,Flemington,NJ,Rtes. 202 & 31,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Open,NA,134480,29,Garrison Investment Group,81.65667547664374
Atlantic City,Menlo Park Mall,NJ0160,Edison,NJ,Rt. 1 & Parsonage Rd.,"new york-northern new jersey-long island, ny-nj-pa",Super-Regional Center,Enclosed,1960,1322000,165,"Simon Property Group, Inc.",82.06831158267757
Atlantic City,Hadley Center,NJ0024,South Plainfield,NJ,Rt. 287 & Stelton Rd.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1985,540152,39,National Realty & Development Corp.,82.1256711881182
